!SESSION 2024-12-13 04:01:58.086 -----------------------------------------------
eclipse.buildId=2022.2
java.version=11.0.11
java.vendor=Oracle Corporation
BootLoader constants: OS=win32, ARCH=x86_64, WS=win32, NL=ko_KR
Command-line arguments:  -os win32 -ws win32 -arch x86_64

This is a continuation of log file C:\Users\dant0\Desktop\minesweeper_pray\.metadata\.bak_0.log
Created Time: 2024-12-13 04:49:56.197

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 04:49:56.197
!MESSAGE XSCT Command: [::hsi::utils::get_addr_ranges -json C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa microblaze_0], Thread: Worker-10: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 04:49:56.200
!MESSAGE XSCT command with result: [::hsi::utils::get_addr_ranges -json C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa microblaze_0], Result: [null, {"gpio_usb_int_S_AXI": {"name": "gpio_usb_int",
!MESSAGE XSCT Command: [jtag targets -set -filter {name =~ "RealDigital Boo 8874292301A4A" && level == 0}], Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:18.303
!MESSAGE XSCT command with result: [jtag targets -set -filter {name =~ "RealDigital Boo 8874292301A4A" && level == 0}], Result: [null, ]. Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:18.303
!MESSAGE XSCT Command: [jtag frequency], Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:18.304
!MESSAGE XSCT command with result: [jtag frequency], Result: [null, 15000000]. Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:18.304
!MESSAGE XSCT Command: [::hsi::utils::get_clock_info -json C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa microblaze_0], Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:18.306
!MESSAGE XSCT command with result: [::hsi::utils::get_clock_info -json C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa microblaze_0], Result: [null, {"Clk": "100000000",
"Dbg_Clk": "",
}]. Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:18.320
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:18.323
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* RealDigital Boo 8874292301A4A]. Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:18.324
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "RealDigital Boo 8874292301A4A" && level==1}], Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:18.333
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "RealDigital Boo 8874292301A4A" && level==1}], Result: [null,      2  xc7s50 (idcode 0362f093 irlen 6 fpga)]. Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:18.334
!MESSAGE XSCT Command: [targets -set -filter {jtag_cable_name =~ "RealDigital Boo 8874292301A4A" && level==0 && jtag_device_ctx=="jsn1-0362f093-0"}], Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:18.357
!MESSAGE XSCT command with result: [targets -set -filter {jtag_cable_name =~ "RealDigital Boo 8874292301A4A" && level==0 && jtag_device_ctx=="jsn1-0362f093-0"}], Result: [null, ]. Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:18.358
!MESSAGE XSCT Command: [fpga -file C:/Users/dant0/Desktop/minesweeper_pray/MinesweeperPRAY/_ide/bitstream/mb_usb_hdmi_top.bit], Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:19.616
!MESSAGE XSCT command with result: [fpga -file C:/Users/dant0/Desktop/minesweeper_pray/MinesweeperPRAY/_ide/bitstream/mb_usb_hdmi_top.bit], Result: [null, ]. Thread: ModalContext

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:19.635
!MESSAGE XSCT Command: [targets -set -nocase -filter {name =~ "*microblaze*#0" && bscan=="USER2" }], Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:19.701
!MESSAGE XSCT command with result: [targets -set -nocase -filter {name =~ "*microblaze*#0" && bscan=="USER2" }], Result: [null, ]. Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:19.703
!MESSAGE XSCT Command: [loadhw -hw C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa -regs], Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:19.743
!MESSAGE XSCT command with result: [loadhw -hw C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa -regs], Result: [null, mb_usb_hdmi_top_25]. Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:19.743
!MESSAGE XSCT Command: [configparams mdm-detect-bscan-mask 2], Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:19.744
!MESSAGE XSCT command with result: [configparams mdm-detect-bscan-mask 2], Result: [null, ]. Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:19.745
!MESSAGE XSCT Command: [targets -set -nocase -filter {name =~ "*microblaze*#0" && bscan=="USER2" }], Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:19.766
!MESSAGE XSCT command with result: [targets -set -nocase -filter {name =~ "*microblaze*#0" && bscan=="USER2" }], Result: [null, ]. Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:19.767
!MESSAGE XSCT Command: [rst -system], Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:19.768
!MESSAGE XSCT command with result: [rst -system], Result: [null, ]. Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:19.769
!MESSAGE XSCT Command: [after 3000], Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:22.782
!MESSAGE XSCT command with result: [after 3000], Result: [null, ]. Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:22.784
!MESSAGE XSCT Command: [targets -set -nocase -filter {name =~ "*microblaze*#0" && bscan=="USER2" }], Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:22.794
!MESSAGE XSCT command with result: [targets -set -nocase -filter {name =~ "*microblaze*#0" && bscan=="USER2" }], Result: [null, ]. Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:22.794
!MESSAGE XSCT Command: [dow C:/Users/dant0/Desktop/minesweeper_pray/MinesweeperPRAY/Debug/MinesweeperPRAY.elf], Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:22.916
!MESSAGE XSCT command with result: [dow C:/Users/dant0/Desktop/minesweeper_pray/MinesweeperPRAY/Debug/MinesweeperPRAY.elf], Result: [null, ]. Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:22.930
!MESSAGE XSCT Command: [targets -set -nocase -filter {name =~ "*microblaze*#0" && bscan=="USER2" }], Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:22.941
!MESSAGE XSCT command with result: [targets -set -nocase -filter {name =~ "*microblaze*#0" && bscan=="USER2" }], Result: [null, ]. Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:22.941
!MESSAGE XSCT Command: [con], Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:22.948
!MESSAGE XSCT command with result: [con], Result: [null, ]. Thread: Worker-30: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:22.955
!MESSAGE XSCT Command: [disconnect tcfchan#13], Thread: Thread-438

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:24:22.957
!MESSAGE XSCT command with result: [disconnect tcfchan#13], Result: [null, ]. Thread: Thread-438

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:10.374
!MESSAGE XSCT Command: [platform read {C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/platform.spr}], Thread: Worker-34: Reading platform

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:10.849
!MESSAGE XSCT command with result: [platform read {C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/platform.spr}], Result: [null, ]. Thread: Worker-34: Reading platform

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:13.477
!MESSAGE XSCT Command: [platform config -updatehw {C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top.xsa}], Thread: Worker-30: Updating hardware platform

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:13.834
!MESSAGE XSCT command with result: [platform config -updatehw {C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top.xsa}], Result: [null, ]. Thread: Worker-30: Updating hardware platform

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:21.751
!MESSAGE XSCT Command: [::hsi::utils::closehw C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa], Thread: Worker-36: Build Project

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:21.754
!MESSAGE XSCT command with result: [::hsi::utils::closehw C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa], Result: [null, ]. Thread: Worker-36: Build Project

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:21.754
!MESSAGE XSCT Command: [::hsi::utils::openhw C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa], Thread: Worker-36: Build Project

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:21.914
!MESSAGE XSCT command with result: [::hsi::utils::openhw C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa], Result: [null, ]. Thread: Worker-36: Build Project

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:21.914
!MESSAGE XSCT Command: [ ::hsi::utils::set_current_hw_sw C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/sw/mb_usb_hdmi_top/standalone_microblaze_0/system.mss ], Thread: Worker-36: Build Project

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:21.923
!MESSAGE XSCT command with result: [ ::hsi::utils::set_current_hw_sw C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/sw/mb_usb_hdmi_top/standalone_microblaze_0/system.mss ], Result: [null, ]. Thread: Worker-36: Build Project

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:21.923
!MESSAGE XSCT Command: [::hsi::utils::get_hw_sw_details -json C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/sw/mb_usb_hdmi_top/standalone_microblaze_0/system.mss], Thread: Worker-36: Build Project

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:21.925
!MESSAGE XSCT command with result: [::hsi::utils::get_hw_sw_details -json C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/sw/mb_usb_hdmi_top/standalone_microblaze_0/system.mss], Result: [null, {"procname": "microblaze_0",
"osname": "standalone",
"osver": "8.0",
}]. Thread: Worker-36: Build Project

!ENTRY com.xilinx.sdk.utils 1 0 2024-12-13 05:37:21.925
!MESSAGE Generating MD5 hash for file: C:\Users\dant0\Desktop\minesweeper_pray\mb_usb_hdmi_top\export\mb_usb_hdmi_top\sw\mb_usb_hdmi_top\standalone_microblaze_0\system.mss ...

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:21.926
!MESSAGE XSCT Command: [::hsi::utils::closesw C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/sw/mb_usb_hdmi_top/standalone_microblaze_0/system.mss], Thread: Worker-36: Build Project

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:21.926
!MESSAGE XSCT command with result: [::hsi::utils::closesw C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/sw/mb_usb_hdmi_top/standalone_microblaze_0/system.mss], Result: [null, ]. Thread: Worker-36: Build Project

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:23.376
!MESSAGE XSCT Command: [::hsi::utils::openhw C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa], Thread: Worker-36: Build Project

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:23.379
!MESSAGE XSCT command with result: [::hsi::utils::openhw C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa], Result: [null, ]. Thread: Worker-36: Build Project

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:23.380
!MESSAGE XSCT Command: [hsi::internal::extract_hw_files -quiet bit mmi bmm -dir {C:\Users\dant0\Desktop\minesweeper_pray\MinesweeperPRAY\_ide\bitstream}], Thread: Worker-36: Build Project

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:23.402
!MESSAGE XSCT command with result: [hsi::internal::extract_hw_files -quiet bit mmi bmm -dir {C:\Users\dant0\Desktop\minesweeper_pray\MinesweeperPRAY\_ide\bitstream}], Result: [null, ]. Thread: Worker-36: Build Project

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:23.403
!MESSAGE XSCT Command: [::hsi::utils::get_design_properties -json C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa], Thread: Worker-36: Build Project

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:23.405
!MESSAGE XSCT command with result: [::hsi::utils::get_design_properties -json C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa], Result: [null, {"device": "7s50",
"family": "spartan7",
"timestamp": "Wed Dec 11 22:06:29 2024",
"vivado_version": "2022.2",
"part": "xc7s50csga324-1",
}]. Thread: Worker-36: Build Project

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:23.406
!MESSAGE XSCT Command: [::hsi::utils::get_all_periphs -json C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa], Thread: Worker-36: Build Project

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:23.410
!MESSAGE XSCT command with result: [::hsi::utils::get_all_periphs -json C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa], Result: [null, {"axi_uartlite_0": {"hier_name": "axi_uartlite_0",
"type": "axi_uartlite",
"version": "2.0",
"ip_type": "PERIPHERAL",
},
"clk_wiz_1": {"hier_name": "clk_wiz_1",
"type": "clk_wiz",
"version": "6.0",
"ip_type": "PERIPHERAL",
},
"gpio_usb_int": {"hier_name": "gpio_usb_int",
"type": "axi_gpio",
"version": "2.0",
"ip_type": "PERIPHERAL",
},
"gpio_usb_keycode": {"hier_name": "gpio_usb_keycode",
"type": "axi_gpio",
"version": "2.0",
"ip_type": "PERIPHERAL",
},
"gpio_usb_rst": {"hier_name": "gpio_usb_rst",
"type": "axi_gpio",
"version": "2.0",
"ip_type": "PERIPHERAL",
},
"mdm_1": {"hier_name": "mdm_1",
"type": "mdm",
"version": "3.2",
"ip_type": "DEBUG",
},
"microblaze_0": {"hier_name": "microblaze_0",
"type": "microblaze",
"version": "11.0",
"ip_type": "PROCESSOR",
},
"microblaze_0_axi_intc": {"hier_name": "microblaze_0_axi_intc",
"type": "axi_intc",
"version": "4.1",
"ip_type": "INTERRUPT_CNTLR",
},
"microblaze_0_axi_periph": {"hier_name": "microblaze_0_axi_periph",
"type": "axi_interconnect",
"version": "2.1",
"ip_type": "BUS",
},
"microblaze_0_local_memory_dlmb_bram_if_cntlr": {"hier_name": "microblaze_0_local_memory_dlmb_bram_if_cntlr",
"type": "lmb_bram_if_cntlr",
"version": "4.0",
"ip_type": "MEMORY_CNTLR",
},
"microblaze_0_local_memory_dlmb_v10": {"hier_name": "microblaze_0_local_memory_dlmb_v10",
"type": "lmb_v10",
"version": "3.0",
"ip_type": "BUS",
},
"microblaze_0_local_memory_ilmb_bram_if_cntlr": {"hier_name": "microblaze_0_local_memory_ilmb_bram_if_cntlr",
"type": "lmb_bram_if_cntlr",
"version": "4.0",
"ip_type": "MEMORY_CNTLR",
},
"microblaze_0_local_memory_ilmb_v10": {"hier_name": "microblaze_0_local_memory_ilmb_v10",
"type": "lmb_v10",
"version": "3.0",
"ip_type": "BUS",
},
"microblaze_0_local_memory_lmb_bram": {"hier_name": "microblaze_0_local_memory_lmb_bram",
"type": "blk_mem_gen",
"version": "8.4",
"ip_type": "MEMORY",
},
"rst_clk_wiz_1_100M": {"hier_name": "rst_clk_wiz_1_100M",
"type": "proc_sys_reset",
"version": "5.0",
"ip_type": "PERIPHERAL",
},
"spi_usb": {"hier_name": "spi_usb",
"type": "axi_quad_spi",
"version": "3.2",
"ip_type": "MEMORY_CNTLR",
},
"timer_usb_axi": {"hier_name": "timer_usb_axi",
"type": "axi_timer",
"version": "2.0",
"ip_type": "PERIPHERAL",
},
"xlconcat_0": {"hier_name": "xlconcat_0",
"type": "xlconcat",
"version": "2.1",
"ip_type": "PERIPHERAL",
},
}]. Thread: Worker-36: Build Project

!ENTRY com.xilinx.sdk.utils 1 0 2024-12-13 05:37:23.517
!MESSAGE Tool usage for 'SDX_NO_OP_BUILD' updated to '9'

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:26.212
!MESSAGE XSCT Command: [::hsi::utils::get_ps_config_params -json C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa], Thread: Worker-40: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:26.214
!MESSAGE XSCT command with result: [::hsi::utils::get_ps_config_params -json C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa], Result: [null, {}]. Thread: Worker-40: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:26.215
!MESSAGE XSCT Command: [::hsi::utils::get_all_register_data -json C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa microblaze_0], Thread: Worker-40: Launching Debugger_MinesweeperPRAY-GDB

!ENTRY com.xilinx.sdk.utils 0 0 2024-12-13 05:37:26.242
!MESSAGE XSCT command with result: [::hsi::utils::get_all_register_data -json C:/Users/dant0/Desktop/minesweeper_pray/mb_usb_hdmi_top/export/mb_usb_hdmi_top/hw/mb_usb_hdmi_top.xsa microblaze_0], Result: [null, {"axi_uartlite_0": {"RX_FIFO": {"description": "Receive data FIFO",
"address_offset": "0x0",
"access": "read-only",
"size": "32",
"interface": "S_AXI",
"fields": {"RX_DATA": {"access": "read-only",
"bit_offset": "0",
"bit_range": "",
"bit_width": "8",
"desc": "UART Receive Data
",
"enum_values": "",
"lsb": "",
"mod_write_val": "",
"msb": "",
"read_action": "",
},
},
"memoryAddr": 1080033280,
},
"TX_FIFO": {"description": "Transmit data FIFO",
"address_offset": "0x4",
"access": "write-only",
"size": "32",
"interface": "S_AXI",
"fields": {"TX_DATA": {"access": "write-only",
"bit_offset": "0",
"bit_range": "",
"bit_width": "8",
"desc": "UART Transmit Data
",
"enum_values": "",
"lsb": "",
"mod_write_val": "",
"msb": "",
"read_action": "",
},
},
"memoryAddr": 1080033284,
},
"CTRL_REG": {"description": "UART Lite control register",
"address_offset": "0xC",
"access": "write-only",
"size": "32",
"interface": "S_AXI",
"fields": {"RST_TXFIFO": {"access": "write-only",
"bit_offset": "0",
"bit_range": "",
"bit_width": "1",
"desc": "Reset/clear the transmit FIFO
Writing a 1 to this bit position clears the transmit FIFO
  0 - Do nothing
  1 - Clear the transmit FIFO
",
"enum_values": "",
"lsb": "",
"mod_write_val": "",
"msb": "",
"read_action": "",
},
"RST_RXFIFO": {"access": "write-only",
"bit_offset": "1",
"bit_range": "",
"bit_width": "1",
"desc": "Reset/clear the receive FIFO
Writing a 1 to this bit position clears the receive FIFO
  0 - Do nothing
  1 - Clear the receive FIFO
",
"enum_values": "",
"lsb": "",
"mod_write_val": "",
"msb": "",
"read_action": "",
},
"Enable_Intr": {"access": "write-only",
"bit_offset": "4",
"bit_range": "",
"bit_width": "1",
"desc": "Enable interrupt for the AXI UART Lite
  0 - Disable interrupt signal
  1 - Enable interrupt signal
",
"enum_values": "",
"lsb": "",
"mod_write_val": "",
"msb": "",
"read_action": "",
},
},
"memoryAddr": 1080033292,
},
"STAT_REG": {"description": "UART Lite status register",
"address_offset": "0x8",
"access": "read-only",
"size": "32",
"interface": "S_AXI",
"fields": {"RX_FIFO_Valid_Data": {"access": "read-only",
"bit_offset": "0",
"bit_range": "",
"bit_width": "1",
"desc": "Indicates if the receive FIFO has data.
  0 - Receive FIFO is empty
  1 - Receive FIFO has data
",
"enum_values": "",
"lsb": "",
"mod_write_val": "",
"msb": "",
"read_action": "",
},
"RX_FIFO_Full": {"access": "read-only",
"bit_offset": "1",
"bit_range": "",
"bit_width": "1",
"desc": "Indicates if the receive FIFO is full.
  0 - Receive FIFO is not full
  1 - Receive FIFO is full
",
"enum_values": "",
"lsb": "",
"mod_write_val": "",
"msb": "",
"read_action": "",
},
"TX_FIFO_Empty": {"access": "read-only",
"bit_offset": "2",
"bit_range": "",
"bit_width": "1",
"desc": "Indicates if the transmit FIFO is empty.
  0 - Transmit FIFO is not empty
  1 - Transmit FIFO is empty
",
"enum_values": "",
"lsb": "",
"mod_write_val": "",
"msb": "",
"read_action": "",
},
"TX_FIFO_Full": {"access": "read-only",
"bit_offset": "3",
"bit_range": "",
"bit_width": "1",
"desc": "Indicates if the transmit FIFO is full.
  0 - Transmit FIFO is not full
  1 - Transmit FIFO is full
",
"enum_values": "",
"lsb": "",
"mod_write_val": "",
"msb": "",
"read_action": "",
},
"Intr_Enabled": {"access": "read-only",
"bit_offset": "4",
"bit_range": "",
"bit_width": "1",
"desc": "Indicates that interrupts is enabled.
  0 - Interrupt is disabled
  1 - Interrupt is enabled
",
"enum_values": "",
"lsb": "",
"mod_write_val": "",
"msb": "",
"read_action": "",
},
"Overrun_Error": {"access": "read-only",
"bit_offset": "5",
"bit_range": "",
"bit_width": "1",
"desc": "Indicates that a overrun error has occurred after the last time the status register was read. Overrun is when a new character has been received but the receive FIFO is full. The received character is ignored and not written into the receive FIFO. This bit is cleared when the status register is read.      0 - No overrun error has occurred      1 - Overrun error has occurred
",
"enum_values": "",
"lsb": "",
"mod_write_val": "",
"msb": "",
"read_action": "",
},
"Frame_Error": {"access": "read-only",
"bit_offset": "6",
"bit_range": "",
"bit_width": "1",
"desc": "Indicates that a frame error has occurred after the last time the status register was read. Frame error is defined as detection of a stop bit with the value 0. The receive character is ignored and not written to the receive FIFO. This bit is cleared when the status register is read.      0 - No frame error has occurred   1 - Frame error has occurred
",
"enum_values": "",
"lsb": "",
"mod_write_val": "",
"msb": "",
"read_action": "",
},
"Parity_Error": {"access": "read-only",
"bit_offset": "7",
"bit_range": "",
"bit_width": "1",
"desc": "Indicates that a parity error has occurred after the last time the status register was read. If the UART is configured without any parity handling, this bit is always 0. The received character is written into the receive FIFO. This bit is cleared when the status register is read.      0 - No parity error has occurred      1 - Parity error has occurred
",
"enum_values": "",
"lsb": "",
"mod_write_val": "",
"msb": "",
"read_action": "",
},
},
"memoryAddr": 1080033288,
},
},
"gpio_usb_int": {"GPIO_DATA": {"description": "Channel-1 AXI GPIO Data register",
"address_offset": "0x0",
"access": "read-write",
"size": "1",
"interface": "S_AXI",
"fields": {"Channel_1_GPIO_DATA": {"access": "read-write",
"bit_offset": "0",
"bit_range": "",
"bit_width": "1",
"desc": "AXI GPIO Data Register.
For each I/O bit programmed as input
  R - Reads value on the input pin.
  W - No effect.
For each I/O bit programmed as output
  R - Reads value on GPIO_O pins
  W - Writes value to the corresponding AXI GPIO 
      data register bit and output pin
",
"enum_values": "",
"lsb": "",
"mod_write_val": "",
"msb": "",
"read_action": "",
},
},
"memoryAddr": 1073741824,
},
